recipe_id,synergy_score,conflict_score,final_balance_score,synergy_normalized,conflict_normalized,balance_normalized,conflict_good,sqe_total,n_ingredients,roles_summary,base_count,modifier_count,acid_count,sweetener_count
152,7.180022852063458,0.0198125747783791,-0.1532769444362556,0.10720160714254506,0.0198125747783791,0.8830442544264854,0.980187425221621,0.6018501467514499,7,"base:1,modifier:2,acid:1,sweetener:1",1.0,2.0,1.0,1.0
153,1.760646899836201,0.0279770153869494,-0.2826727634774685,0.026287406204945067,0.0279770153869494,0.6610444851921959,0.9720229846130506,0.500435203423552,4,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
154,3.370612721854506,0.0235540348227904,-0.1809184488230122,0.050325062786404307,0.0235540348227904,0.8356207160106568,0.9764459651772096,0.5637500294709217,5,"base:1,modifier:2,sweetener:1",1.0,2.0,0.0,1.0
155,6.458070235264934,0.0227838438983852,-0.1622026105211693,0.09642246585063045,0.0227838438983852,0.8677308090169236,0.9772161561016148,0.5920530758758137,7,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
156,0.6845555011260043,0.0127483838067913,-0.2568520463715646,0.010220782219082746,0.0127483838067913,0.7053441641265579,0.9872516161932087,0.5118670469835631,4,"base:1,modifier:2",1.0,2.0,0.0,0.0
157,1.4160187209145696,0.0480551829354178,-0.1694802224429392,0.021141921934461166,0.0480551829354178,0.8552448710694612,0.9519448170645822,0.5506136752139975,6,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
158,13.005884788079552,0.0112618626155134,-0.2469724451233357,0.19418486268357973,0.0112618626155134,0.7222942419071626,0.9887381373844866,0.5909836588609266,8,"base:1,modifier:2,acid:1,sweetener:1",1.0,2.0,1.0,1.0
159,3.1880586508967936,0.0068064075637074,-0.2363961013158789,0.047599432213869745,0.0068064075637074,0.7404396959256583,0.9931935924362926,0.5391297593941332,4,"base:1,acid:1,sweetener:1",1.0,0.0,1.0,1.0
160,2.190527456057461,0.0105640108538585,-0.216011776915404,0.032705754371205605,0.0105640108538585,0.7754123507334695,0.9894359891461415,0.5425368037123655,5,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
161,1.933712056,0.0178538942171729,-0.1806647173304797,0.028871362170461653,0.0178538942171729,0.8360560340387589,0.9821461057828271,0.5570091868146605,6,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
162,1.4255831823778458,0.0286193350647461,-0.2357037806025439,0.02128472449392955,0.0286193350647461,0.741627485761028,0.9713806649352539,0.5224163350064563,4,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
163,3.593882919441357,0.0310207543114013,-0.1631124414060488,0.05365860705241809,0.0310207543114013,0.8661698447757129,0.9689792456885987,0.5720081699602607,7,"base:1,modifier:2,acid:1,sweetener:1",1.0,2.0,1.0,1.0
164,4.731704397301577,0.0827067052994429,-0.3030386112416006,0.0706468943575019,0.0827067052994429,0.6261035300871629,0.9172932947005571,0.49127780517931674,4,"base:1,modifier:1,acid:1",1.0,1.0,1.0,0.0
165,9.198876651076516,0.0226144672332546,-0.2253077851680148,0.1373441813793157,0.0226144672332546,0.7594635225397056,0.9773855327667454,0.5759923891436616,6,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
166,3.20762871697536,0.0342254368509119,-0.18946990858036,0.047891623837592115,0.0342254368509119,0.8209492829858936,0.965774563149088,0.5551738033755313,4,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
167,0.8544686025453028,0.0007211140481095,-0.4415668685252764,0.012757676310093651,0.0007211140481095,0.3884355638632363,0.9992788859518905,0.4214174054685755,3,"base:1,modifier:1",1.0,1.0,0.0,0.0
168,0.789605112,0.0367679666670223,-0.1731381167723475,0.011789229471608537,0.0367679666670223,0.8489691528659743,0.9632320333329777,0.548376047648329,4,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
169,0.7819012592300439,0.038167917184464,-0.2313515576738828,0.01167420680174454,0.038167917184464,0.749094438657792,0.961832082815536,0.5179476391626963,4,"base:1,modifier:2",1.0,2.0,0.0,0.0
170,6.08781218598901,0.0232208545433378,-0.1671539415399668,0.09089431381578901,0.0232208545433378,0.8592359878417082,0.9767791454566622,0.5871622655158266,6,"base:1,modifier:2,sweetener:1",1.0,2.0,0.0,1.0
171,0.792670224,0.0285371271350403,-0.2371653526678458,0.011834993244125982,0.0285371271350403,0.7391199189507515,0.9714628728649597,0.5179088348423637,4,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
172,5.468522399644665,0.0348328714692179,-0.2531802747112044,0.08164798385961097,0.0348328714692179,0.7116436911694011,0.9651671285307821,0.5357024394538993,5,"base:1,modifier:2,sweetener:1",1.0,2.0,0.0,1.0
173,3.981580115218024,0.0144187464002708,-0.3300242352761701,0.05944713493432758,0.0144187464002708,0.5798052620850906,0.9855812535997291,0.49339480867917695,4,"base:1,modifier:2",1.0,2.0,0.0,0.0
174,3.5095806708340658,0.0243885182192064,-0.2099665189720653,0.05239992908959868,0.0243885182192064,0.7857839831272139,0.9756114817807936,0.5493786111082417,4,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
175,3.177141064195195,0.012014146986475,-0.2172455966128974,0.04743642676602593,0.012014146986475,0.7732955304980874,0.987985853013525,0.5473589857598941,4,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
176,6.953511765357663,0.0333958466793939,-0.2235257618337832,0.10381967465698382,0.0333958466793939,0.7625208761072388,0.9666041533206061,0.560265378691147,8,"base:1,modifier:3,acid:1,sweetener:1",1.0,3.0,1.0,1.0
